name,price,socket,form_factor,max_memory,memory_slots,color
Asus ROG STRIX Z390-I GAMING,399,LGA1151,Mini ITX,64,2,Black / Silver
Asus TUF GAMING X670E-PLUS,,AM5,ATX,192,4,Black / Orange
Asus PRIME H810M-A WIFI-CSM,129.99,LGA1851,Micro ATX,128,2,Silver / Black
Gigabyte B550 AORUS ELITE,246.49,AM4,ATX,128,4,Black / Silver
MSI PRO Z890-S WIFI,229.99,LGA1851,ATX,256,4,Black / Silver
ASRock Z890 Taichi,437.74,LGA1851,ATX,256,4,Black / Gold
Gigabyte Z390 AORUS MASTER,308.99,LGA1151,ATX,128,4,Black / Silver
Gigabyte B450 AORUS PRO,,AM4,ATX,64,4,Black / Silver
Gigabyte GA-B85M-D3H,,LGA1150,Micro ATX,32,4,Black / Gray
MSI B840M GAMING PLUS WIFI6E,222.47,AM5,Micro ATX,256,4,Silver
NZXT N7 Z590,,LGA1200,ATX,128,4,White
Gigabyte X570S AORUS MASTER,575.72,AM4,ATX,128,4,Black / Silver
Asus PRIME B840M-A-CSM,210.16,AM5,Micro ATX,192,4,Silver / Black
MSI B450-A PRO,,AM4,ATX,64,4,Brown / Black
Gigabyte B760 AORUS ELITE AX,249,LGA1700,ATX,192,4,Black
MSI MEG Z790 ACE MAX,,LGA1700,EATX,192,4,Black
Asus ROG Crosshair VIII Hero,,AM4,ATX,128,4,Black
ASRock B860M Pro-A WiFi,149.99,LGA1851,Micro ATX,256,4,Black
MSI B850M GAMING PLUS WIFI6E,247.17,AM5,Micro ATX,256,4,Silver / White
ASRock H310CM-HDV,,LGA1151,Micro ATX,32,2,Black
ASRock A320M-HDV,,AM4,Micro ATX,32,2,Black / Silver
Gigabyte B360M DS3H,,LGA1151,Micro ATX,64,4,Silver / Black
ASRock Z890 LiveMixer WiFi,239.99,LGA1851,ATX,256,4,Silver / Black
Asus ROG Strix X299-E Gaming II,,LGA2066,ATX,256,8,Black
ASRock B450M-HDV,149.99,AM4,Micro ATX,32,2,Black / Silver
Biostar A320MH,,AM4,Micro ATX,32,2,Black / Yellow
Gigabyte Z790 AORUS XTREME X ICE,,LGA1700,EATX,192,4,White
ASRock B860 Pro-A WiFi,188,LGA1851,ATX,256,4,Black
Gigabyte Z590I AORUS ULTRA,389,LGA1200,Mini ITX,64,2,Black
NZXT N7-Z69XT-W1,302.06,LGA1700,ATX,128,4,White / Black
Asus PRIME X370-PRO,,AM4,ATX,64,4,Black / White
Gigabyte Z390 AORUS ULTRA,,LGA1151,ATX,128,4,Black / Silver
Gigabyte B840M AORUS ELITE WIFI6E,,AM5,Micro ATX,256,4,Black / Gray
ASRock B760M Pro RS/D4 WiFi,172.28,LGA1700,Micro ATX,128,4,Silver / Black
Asus PRIME B860M-A WIFI-CSM,169.99,LGA1851,Micro ATX,256,4,Silver / Black
Gigabyte B760M DS3H,,LGA1700,Micro ATX,192,4,Black / Silver
Asus WS X299 SAGE/10G,599.99,LGA2066,SSI CEB,128,8,Black / Silver
MSI MPG Z690 CARBON WIFI,,LGA1700,ATX,192,4,Black / Silver
Asus PRIME B760M-A AX6 II,,LGA1700,Micro ATX,192,4,Black / Silver
MSI MPG Z790 CARBON WIFI II,429.99,LGA1700,ATX,192,4,Black
MSI MEG Z790 GODLIKE MAX,,LGA1700,EATX,192,4,Black
Gigabyte Z790 AORUS ELITE X AX,,LGA1700,ATX,192,4,Black
Asus ProArt B660-CREATOR D4,199.95,LGA1700,ATX,128,4,Black
Gigabyte B450M AORUS ELITE,,AM4,Micro ATX,128,4,Black / Orange
Gigabyte B860M AORUS ELITE WIFI6E ICE,189.99,LGA1851,Micro ATX,256,4,White / Silver
Asus TUF GAMING B550M-PLUS (WI-FI),274,AM4,Micro ATX,128,4,Black
ASRock B450M Pro4-F,,AM4,Micro ATX,64,4,Black / Silver
Gigabyte H510M S2H V3,,LGA1200,Micro ATX,64,2,Gray / Black
Gigabyte H610M S2H,118.1,LGA1700,Micro ATX,64,2,Brown / Silver
MSI PRO B760-P WIFI,189.99,LGA1700,ATX,192,4,Black / Silver
MSI B450I GAMING PLUS MAX WIFI,,AM4,Mini ITX,64,2,Black
Asus Strix B550-XE Gaming WiFi,391.02,AM4,ATX,128,4,Black
Asus ROG STRIX Z590-A GAMING WIFI,478,LGA1200,ATX,128,4,Silver / Black
Gigabyte X570 AORUS PRO WIFI,448,AM4,ATX,128,4,Black / Silver
Asus PRIME B550M-A/CSM,189,AM4,Micro ATX,128,4,Black / White
Asus PRIME Z490-A,,LGA1200,ATX,128,4,Black / Silver
ASRock B550M/ac,,AM4,Micro ATX,128,4,Black / White
Asus PRIME B650M-A AX6 II-CSM,,AM5,Micro ATX,192,4,Black
ASRock Phantom Gaming Z890 Nova WiFi,349.99,LGA1851,ATX,256,4,Black
ASRock X670E Pro RS,551.13,AM5,ATX,256,4,Black
MSI MEG Z790 ACE,,LGA1700,EATX,192,4,Gold / Black
Asus PRIME A620-PLUS WIFI,,AM5,ATX,192,4,Silver / Black
ASRock B365 Phantom Gaming 4,,LGA1151,ATX,128,4,Black / Red
Gigabyte B840M D2H,169.54,AM5,Micro ATX,128,2,Gray / Black
Gigabyte Z590 AORUS ELITE AX,377.9,LGA1200,ATX,128,4,Black
Gigabyte B365 HD3,225,LGA1151,ATX,64,4,Black / Silver
ASRock X670E Taichi Carrara,,AM5,EATX,256,4,Black / White
ASRock B360M Pro4,,LGA1151,Micro ATX,64,4,Black / Silver
Asus TUF GAMING B460M-PLUS (WI-FI),,LGA1200,Micro ATX,128,4,Black / Gold
MSI B450M MORTAR,,AM4,Micro ATX,64,4,Black
MSI B350 PC MATE,,AM4,ATX,64,4,Black
MSI B560M PRO-VDH WIFI,,LGA1200,Micro ATX,128,4,Black
Gigabyte B660 DS3H AC DDR4,,LGA1700,ATX,128,4,Black
ASRock B760M Pro-A WiFi,,LGA1700,Micro ATX,192,4,White / Black
Gigabyte GA-78LMT-USB3,,AM3+,Micro ATX,32,4,Blue / White
Gigabyte B860M EAGLE PLUS WIFI6E,159.99,LGA1851,Micro ATX,256,4,Black / Silver
ASRock Z890 Lightning WiFi,217.99,LGA1851,ATX,256,4,Black
ASRock B760M-H/M.2,114.37,LGA1700,Micro ATX,96,2,Silver / Black
MSI MAG Z390 TOMAHAWK,390.78,LGA1151,ATX,128,4,Black / Silver
Asus ROG MAXIMUS Z790 HERO BTF,,LGA1700,ATX,192,4,Black
Asus PRIME B660M-A D4,,LGA1700,Micro ATX,128,4,Silver / Black
ASRock X570M Pro4,,AM4,Micro ATX,128,4,Black / Silver
MSI PRO H610M-G,140.65,LGA1700,Micro ATX,96,2,Black
Asus ROG STRIX B860-G GAMING WIFI,351.52,LGA1851,Micro ATX,256,4,White / Silver
Gigabyte Z790 AORUS ELITE AX DDR4,250,LGA1700,ATX,128,4,Black
Gigabyte Z790 UD AX,326.06,LGA1700,ATX,192,4,Black
Gigabyte Z590 UD AC,329.65,LGA1200,ATX,128,4,Black
Asus P8Z77-V PRO,,LGA1155,ATX,32,4,Black / Blue
MSI MPG X570S EDGE MAX WIFI,734.79,AM4,ATX,128,4,Black / Silver
MSI Z270 GAMING PRO CARBON,,LGA1151,ATX,64,4,Black / Silver
Asus H81M-K,,LGA1150,Micro ATX,16,2,
Gigabyte Z890 AORUS ELITE X ICE,270,LGA1851,ATX,256,4,White / Silver
MSI MPG Z690 FORCE WIFI,399,LGA1700,ATX,192,4,Silver / Black
Gigabyte B760M C,220.5,LGA1700,Micro ATX,192,4,Brown / Gray
ASRock Z890 Pro RS WiFi White,226.99,LGA1851,ATX,256,4,White / Silver
Gigabyte GA-F2A55M-DS2,,FM2,Micro ATX,64,2,Blue / White
Gigabyte B450 Gaming X,,AM4,ATX,64,4,Black / Red
Gigabyte Z890 AORUS PRO ICE,339.05,LGA1851,ATX,256,4,White / Silver
Gigabyte Z370P D3,,LGA1151,ATX,64,4,Black / Silver
Asus ROG STRIX B860-F GAMING WIFI,420.04,LGA1851,ATX,256,4,Black
MSI MPG Z490 GAMING CARBON WIFI,,LGA1200,ATX,128,4,Black / Silver
Gigabyte Z790I AORUS ULTRA,334.18,LGA1700,Mini ITX,96,2,Silver / Black
Asus PRIME Z370-P II,199,LGA1151,ATX,64,4,Silver / Black
ASRock Z370 Pro4,,LGA1151,ATX,64,4,Black / Silver
Gigabyte B650 AORUS PRO AX,498.87,AM5,ATX,192,4,Black
ASRock B760M Pro RS/D4,,LGA1700,Micro ATX,128,4,Silver / Black
MSI MPG B560I GAMING EDGE WIFI,,LGA1200,Mini ITX,64,2,Black
Gigabyte GA-A320M-S2H V2,,AM4,Micro ATX,32,2,Black
ASRock Z890 Riptide WiFi,219.99,LGA1851,ATX,256,4,Black
Gigabyte X570 UD,274,AM4,ATX,128,4,Black / Silver
Intel DH61AG,163.08,LGA1155,Thin Mini ITX,16,2,Black / Blue
Asus TUF GAMING B550M-E WIFI,,AM4,Micro ATX,128,4,Orange / Black
ASRock Fatal1ty B450 GAMING K4,,AM4,ATX,64,4,Black / Silver
Asus PRIME B550M-A (WI-FI),,AM4,Micro ATX,128,4,Black / White
MSI 970 GAMING,,AM3+,ATX,32,4,Black / Red
MSI X370 GAMING PRO CARBON,,AM4,ATX,64,4,Black / Silver
Gigabyte Z790 AORUS ELITE DDR4,255.81,LGA1700,ATX,128,4,Black
MSI MAG B560M MORTAR WIFI,299.99,LGA1200,Micro ATX,128,4,Black / White
Asus PRIME B850M-A WIFI,,AM5,Micro ATX,256,4,Black / Silver
Gigabyte A520M DS3H,108.46,AM4,Micro ATX,128,4,Black
Gigabyte GA-H110M-A,,LGA1151,Micro ATX,32,2,Black
Asus MAXIMUS VII HERO,,LGA1150,ATX,32,4,Black / Red
Asus Z97-A/USB 3.1,411.98,LGA1150,ATX,32,4,Black / Gold
ASRock Z390 Pro4,320.81,LGA1151,ATX,128,4,Black / Silver
ASRock B650M-HDV/M.2 White,,AM5,Micro ATX,128,2,White
ASRock X299 Taichi CLX,199.99,LGA2066,ATX,256,8,Black / Silver
Gigabyte B760M AORUS ELITE X AX,,LGA1700,Micro ATX,192,4,White / Silver
MSI MAG B560 TOMAHAWK WIFI,,LGA1200,ATX,128,4,Black
Asus TUF GAMING X570-PRO (WI-FI),,AM4,ATX,128,4,Black / Gold
MSI PRO B860-P WIFI,189.99,LGA1851,ATX,256,4,Silver / Black
Gigabyte Z790 AERO G,423.9,LGA1700,ATX,192,4,
MSI MPG Z590 GAMING CARBON WIFI,399.99,LGA1200,ATX,128,4,Black
ASRock B660M-ITX/ac,,LGA1700,Mini ITX,64,2,Silver / Black
MSI Z170A GAMING M5,,LGA1151,ATX,64,4,Black / Red
ASRock B460M Pro4,,LGA1200,Micro ATX,128,4,Black / Silver
Asus TUF B450M-PRO GAMING,,AM4,Micro ATX,64,4,Black
MSI B450M PRO-VDH,,AM4,Micro ATX,128,4,Brown
Asus PRIME H310M-K,,LGA1151,Micro ATX,32,2,Black / Silver
MSI MAG B550M BAZOOKA,,AM4,Micro ATX,128,4,Black / Silver
Asus B760M-AYW WIFI D4,,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte Z490 UD,293,LGA1200,ATX,128,4,Black / Silver
Gigabyte B650E AORUS MASTER,,AM5,ATX,192,4,Black / Silver
ASRock AB350M Pro4,,AM4,Micro ATX,64,4,Black / White
ASRock B860M Pro-A,139.99,LGA1851,Micro ATX,256,4,Black
Asus TUF GAMING B660M-PLUS WIFI,279.99,LGA1700,Micro ATX,192,4,Yellow / Black
MSI B360 GAMING PLUS,,LGA1151,ATX,64,4,Black / Red
ASRock Z790M PG LIGHTNING/D4,174.49,LGA1700,Micro ATX,128,4,Black
ASRock Z890 Taichi AQUA,756.99,LGA1851,EATX,256,4,White
Gigabyte H510M H V2,,LGA1200,Micro ATX,64,2,Gray / Brown
MSI B350M MORTAR ARCTIC,,AM4,Micro ATX,64,4,White
Asus Zenith II Extreme,,sTRX4,EATX,256,8,Black
Asus PRIME H610M-A WIFI-CSM,,LGA1700,Micro ATX,96,2,Black
MAXSUN H610M 666 WIFI6 ARGB,,LGA1700,Micro ATX,64,2,Black / Blue
Gigabyte X570 AORUS ULTRA,,AM4,ATX,128,4,Black / Silver
ASRock H610M-ITX/eDP,179.9,LGA1700,Mini ITX,64,2,Silver / Black
ASRock B550 Extreme4,184.99,AM4,ATX,128,4,Blue / Black
ASRock X399M Taichi,,sTR4,Micro ATX,64,4,Black
Asus PRIME B650M-A WIFI,348.42,AM5,Micro ATX,128,4,Silver / Black
ASRock A320M,,AM4,Micro ATX,32,2,Black / Silver
Gigabyte Z890 AORUS MASTER AI TOP,699.98,LGA1851,EATX,256,4,Black / Silver
ASRock Z790 Taichi Carrara,391.91,LGA1700,EATX,192,4,White / Black
Gigabyte Z690 UD AX DDR4,471.78,LGA1700,ATX,128,4,Black
Gigabyte GA-AB350M-DS3H,,AM4,Micro ATX,64,4,Black
Gigabyte X299X AORUS MASTER,,LGA2066,EATX,256,8,Black / Orange
ASRock A520M Pro4,99.99,AM4,Micro ATX,128,4,Black / Silver
Asus TUF GAMING B760M-E D4,,LGA1700,Micro ATX,128,4,Black / Orange
Gigabyte B550 GAMING X,,AM4,ATX,128,4,Black / Silver
MSI X99A XPOWER GAMING TITANIUM,,LGA2011-3,EATX,128,8,White / Black
Gigabyte B850M AORUS PRO WIFI7,,AM5,Micro ATX,256,4,Black
Biostar B450NH,,AM4,Mini ITX,64,2,Black / Silver
MSI MAG B460M MORTAR WIFI,,LGA1200,Micro ATX,128,4,Silver / Black
Gigabyte H510M H,,LGA1200,Micro ATX,64,2,Black
MSI B250M BAZOOKA,,LGA1151,Micro ATX,64,4,Black / Gray
Gigabyte B550 AORUS ELITE AX V3 (rev. 1.5),,AM4,ATX,128,4,Black
MSI MEG Z690 ACE,736.88,LGA1700,EATX,192,4,Black / Gold
MSI MEG X570 ACE,459.78,AM4,ATX,128,4,Black / Silver
MSI MPG Z390M GAMING EDGE AC,,LGA1151,Micro ATX,128,4,Black / Silver
ASRock B860M Pro RS WiFi,,LGA1851,Micro ATX,256,4,Silver / Black
MSI Z97 PC MATE,,LGA1150,ATX,32,4,Black / Blue
Gigabyte Z890 AERO G,319.99,LGA1851,ATX,256,4,Silver / White
Gigabyte B860M D3HP,129.99,LGA1851,Micro ATX,256,4,Silver / Black
Gigabyte X570S AERO G,527.9,AM4,ATX,128,4,Black / White
Asus ROG Crosshair VIII Extreme,,AM4,EATX,128,4,Black
MSI MPG Z390 GAMING PRO CARBON AC,,LGA1151,ATX,128,4,Black / Silver
MSI PRO B660-A DDR4,,LGA1700,ATX,128,4,Black / Silver
Gigabyte X570S AORUS ELITE,,AM4,ATX,128,4,Black
Asus ROG Crosshair VIII Impact,589,AM4,Mini DTX,64,2,Black
ASRock Z790 LiveMixer,308.16,LGA1700,ATX,192,4,Purple / Black
Asus PRIME Z690-P WIFI,,LGA1700,ATX,192,4,Silver / Black
MSI MAG Z590 TOMAHAWK WIFI,,LGA1200,ATX,128,4,Black
Asus PRIME B560M-A AC,,LGA1200,Micro ATX,128,4,Black / Silver
Asus ROG STRIX Z390-H GAMING,,LGA1151,ATX,128,4,Black / Red
ASRock Z790 Riptide WiFi,,LGA1700,ATX,192,4,Black
Supermicro C9X299-PG300F,995,LGA2066,ATX,256,8,Black
MSI PRO Z790-A WIFI DDR4,,LGA1700,ATX,128,4,Black / Silver
Asus MAXIMUS IX HERO,,LGA1151,ATX,64,4,Black / Silver
MSI PRO Z690-A,,LGA1700,ATX,192,4,Black / Silver
ASRock Z370 Extreme4,757.62,LGA1151,ATX,64,4,Black / Silver
Asus PRIME H610M-E D4,168.86,LGA1700,Micro ATX,64,2,Silver / Black
MSI H81M-P33,,LGA1150,Micro ATX,16,2,Black / Blue
Asus X99-A II,,LGA2011-3,ATX,128,8,Black / White
Asus CROSSHAIR VI HERO,,AM4,ATX,128,4,Black
ASRock B860M Steel Legend WiFi,179.99,LGA1851,Micro ATX,256,4,White / Silver
Intel DG41TX,,LGA775,Micro ATX,4,2,Green / Blue
MSI MEG Z690 UNIFY,499.99,LGA1700,ATX,192,4,Black / Silver
Gigabyte B560M DS3H V2,,LGA1200,Micro ATX,128,4,Black
Asus TUF GAMING B850M-E WIFI,,AM5,Micro ATX,256,4,Black
Asus PRO A520M-C II/CSM,92.99,AM4,Micro ATX,64,2,Green / Black
Asus TUF GAMING Z790-PLUS D4,337.97,LGA1700,ATX,128,4,Black
Asus Prime TRX40-Pro,,sTRX4,ATX,256,8,Black / White
Gigabyte B450M H,,AM4,Micro ATX,32,2,Black
Asus ROG STRIX Z790-A GAMING WIFI,,LGA1700,ATX,192,4,Silver / Black
Asus TUF X470-PLUS GAMING,,AM4,ATX,64,4,Black
MSI PRO B660M-A WIFI,,LGA1700,Micro ATX,192,4,Black / Silver
Asus ROG STRIX B760-A GAMING WIFI D4,381.99,LGA1700,ATX,128,4,Silver / Black
Gigabyte Z690 AORUS ELITE AX,,LGA1700,ATX,192,4,Black
Asus PRIME B860-PLUS WIFI-CSM,179.99,LGA1851,ATX,256,4,Silver / Black
Asus ROG STRIX B860-A GAMING WIFI,319.62,LGA1851,ATX,256,4,White / Silver
Gigabyte H610M S2H DDR4,173,LGA1700,Micro ATX,64,2,Black / Gray
Gigabyte Z490 AORUS XTREME,1018.9,LGA1200,EATX,128,4,Black / Silver
Gigabyte Z370 AORUS Gaming 7 (rev. 1.0),,LGA1151,ATX,64,4,Black / Silver
Asus ProArt X570-CREATOR WIFI,,AM4,ATX,128,4,Black
Gigabyte GA-B75M-D3H,,LGA1155,Micro ATX,32,4,Blue / White
Colorful CVN B650M GAMING FROZEN V14,,AM5,Micro ATX,192,4,White / Silver
Asus PRIME B850M-A-CSM,,AM5,Micro ATX,256,4,Black / Silver
Gigabyte Z890M AORUS ELITE WIFI7,,LGA1851,Micro ATX,256,4,Black
ASRock X570 Pro4,,AM4,ATX,128,4,Black / Silver
Gigabyte A520M H,,AM4,Micro ATX,64,2,Black
Colorful CVN X570M GAMING FROZEN V14,,AM4,Micro ATX,128,4,White
ASRock Z890 Pro RS WiFi,194.99,LGA1851,ATX,256,4,Silver / Black
Asus TUF GAMING B760M-PLUS WIFI,,LGA1700,Micro ATX,192,4,Black / Orange
Asus ProArt B760-CREATOR WIFI,,LGA1700,ATX,192,4,Black
Asus Prime X299-Deluxe II,1038.04,LGA2066,ATX,128,8,White / Black
Asus ROG MAXIMUS XIII HERO,,LGA1200,ATX,128,4,Black
Gigabyte A520M K,,AM4,Micro ATX,64,2,Brown / Black
Asus TUF GAMING B560-PLUS WIFI,,LGA1200,ATX,128,4,Black
MSI B550-A PRO (CEC),,AM4,ATX,128,4,Black
Supermicro MBD-X10DAL-I-O,725,2 x LGA2011-3,ATX,512,8,Black / Green
MSI MPG X570S CARBON MAX WIFI,647.19,AM4,ATX,128,4,Black / Silver
MSI B460M-A PRO,,LGA1200,Micro ATX,64,2,Black
MSI MAG Z690 TOMAHAWK WIFI,,LGA1700,ATX,192,4,Black / Silver
Asus PRIME B760M-PLUS,217.93,LGA1700,Micro ATX,192,4,Silver / Black
ASRock Z790 PG-ITX/TB4,,LGA1700,Mini ITX,96,2,Black
Asus PRIME H410M-E,,LGA1200,Micro ATX,64,2,Black
Asus ROG STRIX X870E-H GAMING WIFI7,,AM5,ATX,256,4,Black
MSI MPG B550I GAMING EDGE MAX WIFI,,AM4,Mini ITX,64,2,Black
Asus ROG Crosshair VII Hero,,AM4,ATX,64,4,Black
MSI MEG Z690I UNIFY,,LGA1700,Mini ITX,96,2,Black / Silver
Gigabyte B650M H,,AM5,Micro ATX,96,2,Black / Gray
Gigabyte Z790 EAGLE,261.06,LGA1700,ATX,192,4,Gray / Black
ASRock Z68M/USB3,95.55,LGA1155,Micro ATX,16,2,
MSI PRO Z690-P DDR4,169.99,LGA1700,ATX,128,4,Black / Silver
Biostar G41U3G,,LGA775,Micro ATX,8,2,Black / Red
Asus PRIME H310-PLUS,,LGA1151,ATX,32,2,Black
Gigabyte Z590 VISION G,385,LGA1200,ATX,128,4,Black / White
Gigabyte Z370 HD3 (rev. 1.0),236,LGA1151,ATX,64,4,Black / Gray
ASRock B650E TAICHI,,AM5,EATX,256,4,Black
Gigabyte B550 AORUS MASTER,406.99,AM4,ATX,128,4,Black / Silver
Gigabyte B660 GAMING X DDR4,,LGA1700,ATX,128,4,Black
MSI PRO-B660M-A-CEC-WIFI-DDR4,,LGA1700,Micro ATX,128,4,Black / Silver
NZXT N5 Z690,227.93,LGA1700,ATX,128,4,Black
ASRock H610M-HDV/M.2 R2.0,,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte Z390 AORUS PRO,373.56,LGA1151,ATX,128,4,Black / Silver
Gigabyte GA-Z170X-Gaming 3,,LGA1151,ATX,64,4,Black / Red
MSI H410M PRO,,LGA1200,Micro ATX,64,2,Black / Silver
Biostar H510MHP 2.0,93.84,LGA1200,Micro ATX,64,2,Black
Asus PRIME B840M-A WIFI,259.7,AM5,Micro ATX,192,4,Silver / Black
Asus PRIME B450M-A/CSM,199,AM4,Micro ATX,64,4,Black / Silver
Asus STRIX Z270F,,LGA1151,ATX,64,4,Black / Silver
Asus Rampage IV Black Edition,,LGA2011,EATX,128,8,Black / Red
Asus PRIME Z270-P,,LGA1151,ATX,64,4,Black / Silver
Asus TUF Z270 MARK 2,,LGA1151,ATX,64,4,Black / Yellow
Asus H110M-R,,LGA1151,Micro ATX,32,2,Black
Asus PRIME Z890-P,333.71,LGA1851,ATX,192,4,Black / Silver
MSI B250M GAMING PRO,,LGA1151,Micro ATX,32,2,Black / Red
Asus PRIME B760M-A,,LGA1700,Micro ATX,128,4,Silver / Black
MSI Z97S SLI Krait Edition,,LGA1150,ATX,32,4,Black / White
Gigabyte B560 HD3,,LGA1200,ATX,128,4,Black / Gray
ASRock B250M Pro4,,LGA1151,Micro ATX,64,4,Black / White
Asus H110M-A/M.2,,LGA1151,Micro ATX,32,2,Black / Gold
Gigabyte H310M S2H,,LGA1151,Micro ATX,32,2,Silver / Brown
Asus PRIME H310M-K R2.0,,LGA1151,Micro ATX,32,2,Black
Asus TUF GAMING B760M-PLUS D4,229.1,LGA1700,Micro ATX,128,4,Black / Orange
MSI MPG Z790 EDGE WIFI DDR4,599.99,LGA1700,ATX,128,4,Silver / Black
Asus PRIME H610M-A D4,,LGA1700,Micro ATX,64,2,Silver / Black
Gigabyte Z590 UD,278,LGA1200,ATX,128,4,Black
Gigabyte Z690I AORUS ULTRA DDR4,256.9,LGA1700,Mini ITX,64,2,Black / Silver
MSI MEG Z490I UNIFY,393.48,LGA1200,Mini ITX,64,2,Black / Silver
ASRock B560M Pro4,,LGA1200,Micro ATX,128,4,Silver / Black
Gigabyte B550 AORUS PRO V2,291.49,AM4,ATX,128,4,Black
MSI MEG Z790 GODLIKE,,LGA1700,EATX,192,4,Black
Asus ROG STRIX Z370-F GAMING,,LGA1151,ATX,64,4,Black / Silver
Asus ROG STRIX X470-I GAMING,,AM4,Mini ITX,32,2,Black
Asus PRIME H310M-A R2.0,,LGA1151,Micro ATX,32,2,Black
Asus PRIME H610M-K D4-ARGB,,LGA1700,Micro ATX,64,2,Black / Silver
Gigabyte Z690M AORUS ELITE AX DDR4,265.89,LGA1700,Micro ATX,128,4,Black
Asus ROG STRIX Z590-I GAMING WIFI,549,LGA1200,Mini ITX,64,2,Black
ASRock A520M Phantom Gaming 4,96.49,AM4,Micro ATX,128,4,Black
Gigabyte H610M GAMING WIFI DDR4 (rev. 1.0),,LGA1700,Micro ATX,64,2,Black / White
Asus PRIME B650M-A II,,AM5,Micro ATX,192,4,Silver / Black
MSI B350M PRO-VDH,,AM4,Micro ATX,64,4,Brown / Black
Asus M5A97 R2.0,261.98,AM3+,ATX,32,4,Black / Blue
Asus Z170I PRO GAMING,,LGA1151,Mini ITX,32,2,Black / Red
Gigabyte GA-H110M-DS2,,LGA1151,Micro ATX,32,2,Black / Silver
MSI PRO H610M-S DDR4,,LGA1700,Micro ATX,64,2,Black
ASRock Z890 Taichi OCF,525.79,LGA1851,ATX,128,2,Black / Gold
Asus Pro B760M-CT-CSM,149.99,LGA1700,Micro ATX,192,4,Green / Black
Gigabyte B760M GAMING X AX DDR4,,LGA1700,Micro ATX,128,4,Black
Asus ROG MAXIMUS X HERO,,LGA1151,ATX,64,4,Black
Asus ROG STRIX B365-F GAMING,,LGA1151,ATX,64,4,
Asus PRIME Z790-V AX,,LGA1700,ATX,192,4,Silver / Black
Asus rog-strix-x870e-h-gaming-wifi7-hatsune-miku-edition,,AM5,ATX,256,4,Black / Blue
Asus PRIME Z790M-PLUS D4,,LGA1700,Micro ATX,128,4,Black / Silver
Asus PRIME X670-P,,AM5,ATX,192,4,Silver / Black
MSI Z87-G45 Gaming,,LGA1150,ATX,32,4,Brown / Black
ASRock B760M PG Riptide,280.87,LGA1700,Micro ATX,192,4,Black / Blue
Supermicro X11SCL-LN4F,526.95,LGA1151,Micro ATX,128,4,Green
Biostar H61MGC,,LGA1155,Micro ATX,16,2,Black / Red
MSI PRO B650M-E,,AM5,Micro ATX,96,2,Black
ASRock B860M LiveMixer WiFi,169.99,LGA1851,Micro ATX,256,4,Silver / Black
MSI B150A Gaming Pro,,LGA1151,ATX,64,4,Black / Red
Gigabyte Z690 UD DDR4,,LGA1700,ATX,128,4,Black
ASRock Z690 Pro RS,,LGA1700,ATX,128,4,Silver / Black
Asus A68HM-Plus,,FM2+,Micro ATX,32,2,Black
Asus TUF Z370 Plus Gaming,,LGA1151,ATX,64,4,Black / Yellow
Asus PRIME B460-PLUS,,LGA1200,ATX,128,4,Silver / Black
ASRock Z590-C/ac,,LGA1200,ATX,128,4,Black
ASRock Z790-C,,LGA1700,ATX,192,4,Black
Gigabyte B650M C V2,,AM5,Micro ATX,192,4,Black / Gray
Gigabyte B860M EAGLE V2,186.48,LGA1851,Micro ATX,128,2,Silver / Black
ASRock H670M Pro RS,165.57,LGA1700,Micro ATX,128,4,Gray / Black
MSI B450M BAZOOKA V2,,AM4,Micro ATX,64,4,Black
Gigabyte GA-AB350M-Gaming 3,,AM4,Micro ATX,64,4,Black / Red
ASRock H610M-HDV/M.2,,LGA1700,Micro ATX,64,2,Gray / Black
Gigabyte X870M AORUS ELITE WIFI7 ICE,,AM5,Micro ATX,256,4,White / Silver
ASRock Z890 Pro RS,197.81,LGA1851,ATX,256,4,Silver / Black
ASRock X570D4U-2L2T,419,AM4,Micro ATX,128,4,Green / Silver
Gigabyte GA-B250-HD3,240,LGA1151,ATX,64,4,Black / Gold
Gigabyte GA-B150M-D3H,,LGA1151,Micro ATX,64,4,Black / Silver
ASRock Z690 PG Riptide,,LGA1700,ATX,128,4,Black / Silver
Gigabyte B650M AORUS PRO AX,,AM5,Micro ATX,192,4,Black
ASRock B365M-HDV,,LGA1151,Micro ATX,32,2,Black / Silver
MSI MPG Z590 GAMING PLUS,433.89,LGA1200,ATX,128,4,Black
Asus TUF GAMING B450M-PRO II,,AM4,Micro ATX,128,4,Black / Yellow
Asus ROG STRIX B560-A GAMING WIFI,,LGA1200,ATX,128,4,Black / Silver
Asus PRIME H310M-R R2.0,,LGA1151,Micro ATX,32,2,Black
Gigabyte Z490M,,LGA1200,Micro ATX,128,4,Black / Silver
ASRock B450M Steel Legend Pink,,AM4,Micro ATX,128,4,Black / Pink
Gigabyte GA-970A-DS3P,,AM3+,ATX,32,4,Black / Gray
Asus STRIX X370-F GAMING,,AM4,ATX,64,4,Black
MSI MPG B760I EDGE WIFI DDR4,,LGA1700,Mini ITX,64,2,Silver / Black
Asus ROG Crosshair VIII Formula,630,AM4,ATX,128,4,Black
Asus Z170-AR,361.98,LGA1151,ATX,64,4,Black / White
EVGA P55V,124.69,LGA1156,Micro ATX,16,4,Black / Gray
