name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
AMD FX-9370,198.5,8,4.4,4.7,220,,false
Intel Core i7-4790S,,4,3.2,4,65,Intel HD Graphics 4000,true
Intel Core i5-8600K,,6,3.6,4.3,95,Intel UHD Graphics 630,false
Intel Core i5-9500T,,6,2.2,3.7,35,Intel UHD Graphics 630,false
Intel Core i7-6700T,,4,2.8,3.6,35,Intel HD Graphics 530,true
Intel Core i7-860,361.21,4,2.8,,95,,true
Intel Celeron G4900T,59.95,2,1.8,,35,Intel UHD Graphics 610,false
AMD Phenom II X4 965 Black,,4,3.4,,125,,false
Intel Xeon E5-2697 V3,,14,2.6,3.6,145,,true
AMD Ryzen 3 2200G,,4,3.5,3.7,65,Radeon Vega 8,false
AMD A8-6600K,92.86,4,3.9,,100,Radeon HD 8570D,false
Intel Pentium G3258,51.36,2,3.2,,53,Intel HD Graphics,false
Intel Core i5-6500T,,4,2.5,3.1,35,Intel HD Graphics 530,false
Intel Core 2 Quad Q9650,,4,3,,95,,false
Intel Core i3-8350K,,4,4,,91,Intel UHD Graphics 630,false
Intel Core i5-2320,,4,3,,95,Intel HD Graphics 2000,false
Intel Core i9-7900X,898.95,10,3.3,4.5,140,,true
Intel Core i5-3550,335,4,3.3,,77,Intel HD Graphics 2500,false
Intel Xeon E5-2680 V3,,12,2.5,3.3,120,,true
AMD Athlon X4 970,,4,3.8,4,65,,false
Intel Celeron E3400,18.98,2,2.6,,65,,false
Intel Core i3-9350KF,206,4,4,4.6,91,,false
AMD Athlon X4 860K,,4,3.7,4,95,,false
Intel Xeon E5-1620 V3,69.02,4,3.5,3.6,140,,true
AMD FX-6300,78.51,6,3.5,,95,,false
Intel Core i3-3250,57.65,2,3.5,,55,Intel HD Graphics 2500,true
Intel Core i5-2400S,70,4,2.5,,65,Intel HD Graphics 2000,false
AMD A6-3670K,,4,2.7,,100,Radeon HD 6530D,false
Intel Core i3-8100T,,4,3.1,,35,Intel UHD Graphics 630,false
Intel Core 2 Duo E7500,99.63,2,2.93,,65,,false
Intel Core i3-7100,74.9,2,3.9,,51,Intel HD Graphics 630,true
AMD A10-9700,,4,3.5,3.8,65,Radeon R7 (on-die),false
Intel Xeon E5-1630 V4,229.95,4,3.7,4,140,,true
AMD Phenom II X6 1090T Black,,6,3.2,,125,,false
Intel Pentium Gold G6405,88.72,2,4.1,,58,Intel UHD Graphics 610,true
Intel Celeron G5920,52.99,2,3.5,,58,Intel UHD Graphics 610,false
Intel Xeon E5-2687W V3,,10,3.1,3.5,160,,true
Intel Core i5-7600K,,4,3.8,4.2,91,Intel HD Graphics 630,false
Intel Core i7-10700K Avengers Collector's Edition,741,8,3.8,5.1,125,Intel UHD Graphics 630,true
Intel Core i7-950,100,4,3.06,,130,,true
AMD Athlon II 160u,,1,1.8,,20,,false
Intel Core i5-650,70,2,3.2,,73,Intel HD Graphics,true
AMD A8-9600,,4,3.1,3.4,65,Radeon R7 (on-die),false
Intel Xeon E5-2620 V4,429.95,8,2.1,3,85,,true
Intel Celeron 440,29.98,1,2,,35,,false
Intel Core i5-4570T,75.13,2,2.9,,35,Intel HD Graphics 4600,true
Intel Xeon E5-1660 V2,1129,6,3.7,4,130,,true
Intel Xeon E5-2620,36.75,6,2,,95,,true
Intel Xeon E5-4620,58.67,8,2.2,2.6,95,,true
Intel Core i5-760,100,4,2.8,,95,,false
Intel Core i5-4570S,,4,2.9,,65,Intel HD Graphics 4600,false
Intel Pentium Gold G6500,70.98,2,4.1,,58,Intel UHD Graphics 630,true
Intel Xeon E-2176G,643.62,6,3.7,4.7,80,Intel HD Graphics P630,true
Intel Core i7-4770K,231.05,4,3.5,3.9,84,Intel HD Graphics 4600,true
Intel Core i5-7400,110,4,3,3.5,65,Intel HD Graphics 630,false
Intel Celeron G5925,53.99,2,3.6,,58,Intel UHD Graphics 610,false
Intel Xeon E3-1230 V2,271.85,4,3.3,,69,,true
Intel Xeon E3-1240L V5,,4,2.1,3.2,25,,true
Intel Core i9-10900K,,10,3.7,5.3,125,Intel UHD Graphics 630,true
Intel Core i9-9900X,655.06,10,3.5,4.4,165,,true
Intel Core i7-3970X Extreme Edition,,6,3.5,,150,,true
Intel Core i3-6100,98.95,2,3.7,,51,Intel HD Graphics 530,true
AMD FX-8350,192.57,8,4,,125,,false
Intel Xeon E5-2640,43.31,6,2.5,3,95,,true
Intel Core i7-5820K,429.95,6,3.3,3.6,140,,true
Intel Core i5-4590S,,4,3,3.7,65,Intel HD Graphics 4000,false
AMD A8-7650K,,4,3.3,3.7,95,Radeon R7 (on-die),false
Intel Core i3-6300,92.54,2,3.8,,51,Intel HD Graphics 530,true
Intel Core i5-7500,,4,3.4,3.8,65,Intel HD Graphics 630,false
AMD Ryzen 7 2700,,8,3.2,4.1,65,,true
Intel Core i7-960,220,4,3.2,,130,,true
Intel Core i5-9500F,249,6,3,4.4,65,,false
Intel Xeon E3-1270 V3,420,4,3.5,3.9,80,,true
Intel Core 2 Extreme QX9770,,4,3.2,,136,,false
Intel Xeon E5-2695 V4,,18,2.1,3.3,120,,true
Intel Core 2 Extreme QX9650,152.52,4,3,,130,,false
Intel Core i5-8400T,139,6,1.7,3.3,35,Intel UHD Graphics 630,false
AMD Athlon X2 370K,,2,4.2,,65,,false
Intel Xeon E5-1660 V3,204.44,8,3,3.5,140,,true
AMD FX-8150,,8,3.6,,125,,false
AMD A10-6800K,467.04,4,4.1,,100,Radeon HD 8670D,false
Intel Core i7-4771,,4,3.5,3.9,84,Intel HD Graphics 4600,true
AMD A10-7800,,4,3.5,3.9,65,Radeon R7 (on-die),false
AMD Athlon X4 950,,4,3.5,3.8,65,,false
Intel Xeon E5-2650,89,8,2,2.8,95,,true
Intel Celeron G4900,72.55,2,3.1,,65,Intel UHD Graphics 610,false
Intel Core i5-4690K,,4,3.5,3.9,88,Intel HD Graphics 4600,false
AMD A10-7860k,,4,3.6,4,65,Radeon R7 (on-die),false
Intel Core i9-9900,,8,3.1,5,65,Intel UHD Graphics 630,true
AMD Ryzen 7 PRO 7745,,8,3.8,5.3,65,Radeon,true
Intel Xeon E3-1245 V5,474.39,4,3.5,3.9,80,Intel HD Graphics P530,true
Intel Xeon E5-1620 V4,148.94,4,3.5,3.8,140,,true
Intel Pentium Gold G5400,,2,3.7,,58,Intel UHD Graphics 610,true
Intel Core i9-9960X,,16,3.1,4.4,165,,true
AMD Athlon 3000G (14nm),,2,3.5,,35,Radeon Vega 3,true
AMD A10-7890K,,4,4.1,4.3,95,Radeon R7 (on-die),false
Intel Xeon E5-2660 V3,,10,2.6,3.3,105,,true
AMD Phenom II X4 955,,4,3.2,,125,,false
Intel Core i5-4670S,535,4,3.1,3.8,65,Intel HD Graphics 4600,false
AMD FX-8320,106.55,8,3.5,,125,,false
Intel Core i5-9400,,6,2.9,4.1,65,Intel UHD Graphics 630,false
Intel Core i5-8500,172.92,6,3,4.1,65,Intel UHD Graphics 630,false
Intel Core i5-9600KF,339.95,6,3.7,4.6,95,,false
AMD A8-5600K,249.99,4,3.6,,100,Radeon HD 7560D,false
Intel Core i5-6400,,4,2.7,3.3,65,Intel HD Graphics 530,false
Intel Core i7-3960X Extreme Edition,295.16,6,3.3,,130,,true
Intel Xeon E5-2660 V3,149.94,10,2.6,3.3,105,,true
Intel Core i3-7100T,48.1,2,3.4,,35,Intel HD Graphics 630,true
Intel Core i9-7980XE,1249.95,18,2.6,4.4,165,,true
Intel Xeon E5-2620 V3,80,6,2.4,3.2,85,,true
Intel Xeon E5-2640 V4,,10,2.4,3.4,90,,true
Intel Celeron G1610,37,2,2.6,,55,Intel HD Graphics,false
Intel Core i3-540,60,2,3.06,,73,Intel HD Graphics,true
AMD A10-7700K,132.86,4,3.4,3.8,95,Radeon R7 (on-die),false
Intel Xeon E3-1230 V3,315.86,4,3.3,3.7,80,,true
AMD FX-6350,,6,3.9,,125,,false
Intel Pentium Gold G5500,64.06,2,3.8,,54,Intel UHD Graphics 630,true
Intel Xeon E5-2690 V2,,10,3,3.6,130,,true
AMD FX-8320E,,8,3.2,4,95,,false
AMD Phenom II X6 1100T Black,,6,3.3,,125,,false
Intel Core i5-2300,,4,2.8,,95,Intel HD Graphics 2000,false
Intel Xeon E5-2650 V3,,10,2.3,3,105,,true
Intel Xeon E-2124,110,4,3.3,4.3,71,,false
Intel Core i7-4770K,155.86,4,3.5,3.9,84,Intel HD Graphics 4600,true
AMD FX-8350,253.24,8,4,,125,,false
Intel Pentium G3220,,2,3,,54,Intel HD Graphics,false
Intel Core i3-6098P,59,2,3.6,,54,Intel HD Graphics 510,true
Intel Pentium G4600,,2,3.6,,51,Intel HD Graphics 630,true
AMD Threadripper 2990WX,,32,3,4.2,250,,true
Intel Core 2 Duo E6400,35,2,2.13,,65,,false
Intel Core i7-980,356.02,6,3.333,,130,,true
Intel Core i3-4130T,60,2,2.9,,35,Intel HD Graphics 4400,true
Intel Pentium E5400,,2,2.7,,65,,false
Intel Core i3-10100T,,4,3,3.8,35,Intel UHD Graphics 630,true
AMD A10-5700,72.51,4,3.4,,65,Radeon HD 7660D,false
AMD FX-9590,,8,4.7,5,220,,false
Intel Core i7-4790K,,4,4,4.4,88,Intel HD Graphics 4600,true
Intel Xeon E5-2660,,8,2.2,3,95,,true
Intel Core i9-10850K,,10,3.6,5.2,125,Intel UHD Graphics 630,true
Intel Core i3-10320,120,4,3.8,4.6,65,Intel UHD Graphics 630,true
Intel Core i7-7820X,489.05,8,3.6,4.5,140,,true
Intel Core i7-2600S,235,4,2.8,,65,Intel HD Graphics 2000,true
Intel Xeon E5-2680,110,8,2.7,3.5,130,,true
Intel Core i7-5930K,529.95,6,3.5,3.7,140,,true
Intel Core i5-2310,,4,2.9,,95,Intel HD Graphics 2000,false
AMD A4-5300,,2,3.4,,65,Radeon HD 7480D,false
Intel Xeon E5-2690 V3,,12,2.6,3.5,135,,true
Intel Core i9-9820X,,10,3.3,4.1,165,,true
Intel Core i3-9100T,,4,3.1,3.7,35,Intel UHD Graphics 630,false
AMD Phenom II X4 820,56.64,4,2.8,,95,,false
Intel Celeron G3930,56.99,2,2.9,,51,Intel HD Graphics 610,false
Intel Core i5-7640X,250,4,4,4.2,112,,false
Intel Celeron G3930T,46.07,2,2.7,,35,Intel HD Graphics 610,false
Intel Core i7-990X Extreme Edition,,6,3.467,,130,,true
Intel Pentium G2030,,2,3,,55,Intel HD Graphics,false
Intel Core i7-9700T,,8,2,4.3,35,Intel HD Graphics 630,false
Intel Core i5-9400T,,6,1.8,3.4,35,Intel UHD Graphics 630,false
Intel Pentium Gold G6600,69.63,2,4.2,,58,Intel UHD Graphics 630,true
Intel Core i3-6100T,,2,3.2,,35,Intel HD Graphics 530,true
Intel Core i9-9940X,,14,3.3,4.4,165,,true
Intel Core 2 Quad Q9300,172,4,2.5,,95,,false
AMD FX-8120,,8,3.1,,125,,false
AMD A8-3870K,,4,3,,100,Radeon HD 6550D,false
Intel Core i5-7600T,,4,2.8,3.7,35,Intel HD Graphics 630,false
Intel Core 2 Extreme QX9775,1298,4,3.2,,150,,false
Intel Xeon E5-2660,,8,2.2,3,95,,true
Intel Xeon E3-1220 V3,103.6,4,3.1,3.5,80,,false
Intel Pentium E6600,50,2,3.06,,65,,false
Intel Xeon E5-1650 V2,229.95,6,3.5,3.9,130,,true
Intel Celeron 440,49.99,1,2,,35,,false
Intel Celeron G440,,1,1.6,,35,Intel HD Graphics,false
AMD FX-4100,,4,3.6,,95,,false
AMD A10-5800K,,4,3.8,,100,Radeon HD 7660D,false
Intel Xeon E5-2680 V2,,10,2.8,3.6,115,,true
Intel Core i7-4790T,155.86,4,2.7,3.9,45,,true
Intel Core i9-9900X,,10,3.5,4.4,165,,true
AMD Ryzen 3 1200 (12nm),,4,3.1,3.4,65,,false
Intel Pentium Gold G6605,176.34,2,4.3,,58,Intel UHD Graphics 630,true
AMD A10-7870K,281.82,4,3.9,4.1,95,Radeon R7 (on-die),false
AMD A12-9800,140,4,3.8,4.2,65,Radeon R7 (on-die),false
Intel Core i3-3210,70,2,3.2,,55,Intel HD Graphics 2500,true
Intel Pentium Gold G5420,,2,3.8,,54,Intel UHD Graphics 610,true
Intel Core i5-10600K,,6,4.1,4.8,125,Intel UHD Graphics 630,true
Intel Xeon E5-2670,,8,2.6,3.3,115,,true
Intel Core i3-8300,,4,3.7,,62,Intel UHD Graphics 630,false
Intel Core i9-9920X,799.99,12,3.5,4.4,165,,true
Intel Xeon E5-2687W,,8,3.1,3.8,150,,true
Intel Core i5-7400T,75,4,2.4,3,35,Intel HD Graphics 630,false
AMD Phenom II X4 955 Black,,4,3.2,,125,,false
Intel Core 2 Quad Q9550S,,4,2.83,,65,,false
AMD A8-6500,,4,3.5,,65,Radeon HD 8570D,false
Intel Xeon E3-1275 V3,,4,3.5,3.9,84,Intel HD Graphics P4600,true
Intel Core i5-9600K,,6,3.7,4.6,95,Intel UHD Graphics 630,false
Intel Core i7-930,198.73,4,2.8,,130,,true
AMD Phenom II X4 945,,4,3,,125,,false
Intel Core 2 Quad Q9400,,4,2.66,,95,,false
Intel Xeon E5-2687W V2,,8,3.4,4,150,,true
AMD A6-7400K,89.98,2,3.5,3.9,65,Radeon R5 (on die),false
Intel Core i3-8100,124.9,4,3.6,,65,Intel UHD Graphics 630,false
Intel Core i5-8500,,6,3,4.1,65,Intel UHD Graphics 630,false
Intel Core i9-9900T,,8,2.1,4.4,35,Intel UHD Graphics 630,true
Intel Core i7-7740X,504.57,4,4.3,4.5,112,,true
Intel Celeron G530,41.86,2,2.4,,65,Intel HD Graphics,false
Intel Xeon E-2288G,,8,3.7,5,95,Intel HD Graphics P630,true
Intel Core 2 Quad Q9550,165.51,4,2.83,,95,,false
Intel Celeron G1820,,2,2.7,,53,Intel HD Graphics,false
AMD 3850,,4,1.3,,25,Radeon HD 8280,false
Intel Pentium G3250,61,2,3.2,,53,Intel HD Graphics,false
AMD Opteron 6378,,16,2.4,3.3,115,,false
Intel Core i5-4460S,,4,2.9,3.4,65,Intel HD Graphics 4000,false
AMD Athlon 220GE,,2,3.4,,35,Radeon Vega 3,true
Intel Core 2 Duo E7300,38.19,2,2.66,,65,,false
AMD A10-6700,78.02,4,3.7,,65,Radeon HD 8670D,false
Intel Celeron 420,,1,1.6,,35,,false
AMD Phenom II X6 1055T,,6,2.8,,125,,false
Intel Pentium E2160,49,2,1.8,,65,,false
AMD Athlon II X2 250,,2,3,,65,,false
AMD Athlon X4 750K,,4,3.4,,100,,false
Intel Core i5-5675C,,4,3.1,3.6,65,Iris Pro Graphics 6200,false
Intel Core i7-5775C,,4,3.3,3.7,65,Iris Pro Graphics 6200,true
Intel Core i9-7940X,,14,3.1,4.4,165,,true
AMD Athlon 200GE,,2,3.2,,35,Radeon Vega 3,true
Intel Pentium Gold G5400T,79.95,2,3.1,,35,Intel UHD Graphics 610,true
Intel Xeon E3-1245 V6,555.48,4,3.7,4.1,73,Intel HD Graphics P630,true
Intel Xeon E5-1620 V2,,4,3.7,3.9,130,,true
Intel Pentium G630,37.49,2,2.7,,65,Intel HD Graphics,false
Intel Core i3-4340,60,2,3.6,,54,Intel HD Graphics 4600,true
Intel Core i3-4160,,2,3.6,,54,Intel HD Graphics 4400,true
Intel Xeon E5-1650 V4,,6,3.6,4,140,,true
Intel Core i5-7600,,4,3.5,4.1,65,Intel HD Graphics 630,false
Intel Core i7-7700T,,4,2.9,3.8,35,Intel HD Graphics 630,true
AMD Ryzen 7 1800X,,8,3.6,4,95,,true
Intel Xeon E3-1270 V6,725.37,4,3.8,4.2,72,,true
Intel Core i3-9300,264.13,4,3.7,4.3,62,Intel UHD Graphics 630,false
AMD Athlon II X4 630,52.6,4,2.8,,95,,false
Intel Xeon E-2286G,777.91,6,4,4.9,95,Intel HD Graphics P630,true
Intel Core i5-4690S,,4,3.2,3.9,65,Intel HD Graphics 4600,false
Intel Xeon E3-1270 V2,,4,3.5,,69,,true
Intel Core 2 Duo E8600,,2,3.33,,65,,false
Intel Core i3-2130,,2,3.4,,65,Intel HD Graphics 2000,true
Intel Core i5-2550K,,4,3.4,,95,,false
AMD A8-5500,,4,3.2,,65,Radeon HD 7560D,false
Intel Celeron G1840,,2,2.8,,53,Intel HD Graphics,false
Intel Xeon E5-1620,,4,3.6,3.8,130,,true
Intel Core i5-6600T,184.98,4,2.7,3.5,35,Intel HD Graphics 530,false
Intel Core i5-8600,269.95,6,3.1,4.3,65,Intel UHD Graphics 630,false
Intel Core i5-3330S,149.94,4,2.7,3.2,65,Intel HD Graphics 2500,false
AMD Athlon 240GE,,2,3.5,,35,Radeon Vega 3,true
AMD Athlon II X4 640,74.79,4,3,,95,,false
Intel Core i7-5775C,969.65,4,3.3,3.7,65,Iris Pro Graphics 6200,true
Intel Core i5-3450S,95,4,2.8,,65,Intel HD Graphics 2500,false
Intel Xeon E3-1245 V3,,4,3.4,3.8,84,Intel HD Graphics P4600,true
Intel Core i5-3340,278.02,4,3.1,3.3,77,Intel HD Graphics 2500,false
Intel Xeon E5-1680 V3,,8,3.2,3.8,140,,true
Intel Core i5-6600,,4,3.3,3.9,65,Intel HD Graphics 530,false
Intel Core i5-6400T,,4,2.2,2.8,35,Intel HD Graphics 530,false
Intel Core i7-6800K,329.11,6,3.4,3.6,140,,true
Intel Core i5-3570S,,4,3.1,3.8,65,Intel HD Graphics 2500,false
Intel Pentium Gold G5600,,2,3.9,,54,Intel UHD Graphics 630,true
Intel Core i5-3570,,4,3.4,,77,Intel HD Graphics 2500,false
Intel Xeon E3-1241 V3,298,4,3.5,3.9,80,,true
Intel Xeon E5-2650L,129.94,8,1.8,2.3,70,,true
AMD A12-9800E,138.02,4,3.1,3.8,35,Radeon R7 (on-die),false
Intel Xeon E5-2670 V2,,10,2.5,3.3,115,,true
AMD Athlon X4 760K,,4,3.8,4.1,100,,false
Intel Core i3-3245,60,2,3.4,,55,Intel HD Graphics 4000,true
Intel Xeon E5-2650L V2,,10,1.7,2.1,70,,true
AMD Athlon X4 880K,,4,4,4.2,95,,false
AMD Threadripper 2970WX,,24,3,4.2,250,,true
Intel Core i9-9940X,998.95,14,3.3,4.4,165,,true
Intel Core i7-875K,180,4,2.93,,95,,true
Intel Xeon E5-2609 V4,293.37,8,1.7,,85,,false
Intel Pentium E5300,59.49,2,2.6,,65,,false
Intel Pentium E2140,79.95,2,1.6,,65,,false
AMD Athlon II X4 620,59.49,4,2.6,,95,,false
Intel Xeon E3-1275 V5,,4,3.6,4,80,Intel HD Graphics P530,true
Intel Xeon E3-1225 V5,265,4,3.3,3.7,80,Intel HD Graphics P530,false
Intel Core i5-7640X,225.4,4,4,4.2,112,,false
Intel Core i3-550,,2,3.2,,73,Intel HD Graphics,true
AMD Phenom II X4 940 Black,,4,3,,125,,false
Intel Xeon E3-1240 V2,345,4,3.4,,69,,true
Intel Xeon E3-1240 V3,,4,3.4,3.8,80,,true
Intel Core i5-4440S,117.8,4,2.8,3.3,65,Intel HD Graphics 4600,false
Intel Core i7-3770T,,4,2.5,3.7,45,Intel HD Graphics 4000,true
Intel Core i3-6320,,2,3.9,,51,Intel HD Graphics 530,true
Intel Pentium G3260,,2,3.3,,53,Intel HD Graphics,false
AMD A10-9700E,,4,3,3.5,35,Radeon R7 (on-die),false
Intel Core i5-9500,,6,3,4.4,65,Intel UHD Graphics 630,false
Intel Xeon E3-1275,376.99,4,3.4,,95,Intel HD Graphics,true
Intel Core i7-940,149.94,4,2.93,,130,,true
Intel Xeon E3-1245 V2,367.5,4,3.4,,77,Intel HD Graphics P4000,true
Intel Core i7-870,195.02,4,2.93,,95,,true
Intel Pentium G4500,80.79,2,3.5,,51,Intel HD Graphics 530,false
Intel Pentium G620,,2,2.6,,65,Intel HD Graphics,false
AMD Phenom II X6 1045T,,6,2.7,,95,,false
Intel Core i3-3225,,2,3.3,,55,Intel HD Graphics 4000,true
AMD A6-5400K,,2,3.6,,65,Radeon HD 7540D,false
AMD 5150,,4,1.6,,25,Radeon HD 8400,false
AMD FX-4300,,4,3.8,,95,,false
Intel Xeon E3-1226 V3,,4,3.3,3.7,84,Intel HD Graphics P4600,false
Intel Xeon E3-1230 V5,,4,3.4,3.8,80,,true
Intel Pentium G4560,,2,3.5,,54,Intel HD Graphics 610,true
AMD A6-7480,,2,3.5,3.8,65,Radeon R5 (on die),false
Intel Pentium E5800,58,2,3.2,,65,,false
Intel Xeon E3-1220 V5,121.05,4,3,3.5,80,,false
Intel Celeron G3900,53.5,2,2.8,,51,Intel HD Graphics 510,false
Intel Core 2 Quad Q6600,94.97,4,2.4,,100,,false
Intel Core i9-7920X,,12,2.9,4.4,140,,true
Intel Core i7-880,,4,3.06,,95,,true
Intel Core i7-970,,6,3.2,,130,,true
AMD Sempron 140,,1,2.7,,45,,false
AMD FX-4130,,4,3.8,,125,,false
Intel Xeon E5-2660 V2,,10,2.2,3,95,,true
Intel Xeon E5-1650,,6,3.2,3.8,130,,true
Intel Xeon E5-2603 V3,135,6,1.6,,85,,false
Intel Xeon E5-2650L V4,,14,1.7,2.5,65,,true
Intel Core i5-8600T,,6,2.3,3.7,35,Intel UHD Graphics 630,false
AMD Threadripper 2950X,,16,3.5,4.4,180,,true
Intel Core i5-9600T,,6,2.3,3.9,35,Intel UHD Graphics 630,false
Intel Xeon E-2276G,,6,3.8,4.9,80,Intel HD Graphics P630,true
Intel Core i3-10305,169.99,4,3.8,4.5,65,Intel UHD Graphics 630,true
Intel Core i3-2120T,60,2,2.6,,35,Intel HD Graphics 2000,true
Intel Core i3-2105,60,2,3.1,,65,Intel HD Graphics 3000,true
AMD FX-9370,,8,4.4,4.7,220,,false
Intel Xeon E5-4650,,8,2.7,3.3,130,,true
Intel Xeon E5-2630L V3,410,8,1.8,2.9,55,,true
Intel Core 2 Duo E6750,89.95,2,2.66,,65,,false
Intel Pentium E6800,,2,3.333,,65,,false
AMD A8-3850,,4,2.9,,100,Radeon HD 6550D,false
Intel Pentium G645,70,2,2.9,,65,Intel HD Graphics 2500,false
Intel Xeon E3-1220 V2,,4,3.1,,69,,false
AMD A10-6790K,,4,4,4.3,100,Radeon HD 8670D,false
Intel Xeon E5-2690,,8,2.9,3.8,135,,true
Intel Xeon E5-2670,,8,2.6,3.3,115,,true
Intel Xeon E5-2667 V2,,8,3.3,4,130,,true
Intel Xeon E3-1265L V3,398.95,4,2.5,3.7,45,Intel HD Graphics,true
Intel Core i7-6850K,,6,3.6,3.8,140,,true
Intel Core i3-7300,,2,4,,51,Intel HD Graphics 630,true
Intel Core i3-9350K,,4,4,4.6,91,Intel HD Graphics 630,false
Intel Core i7-860,189.95,4,2.8,,95,,true
Intel Xeon E-2176G,844.02,6,3.7,4.7,80,Intel HD Graphics P630,true
Intel Core i5-4690,,4,3.5,3.9,84,Intel HD Graphics 4600,false
Intel Xeon E-2236,441.91,6,3.4,4.8,80,,true
AMD Phenom II X4 975,168.02,4,3.6,,125,,false
Intel Xeon E5-2620 V3,95.07,6,2.4,3.2,85,,true
AMD A6-7470K,89,2,3.7,4,65,Radeon R5 (on die),false
Intel Xeon E5-2643 V4,479,6,3.4,3.7,135,,true
Intel Xeon E-2278G,,8,3.4,5,80,Intel HD Graphics P630,true
Intel Celeron E3400,,2,2.6,,65,,false
Intel Core i7-930,,4,2.8,,130,,true
Intel Core 2 Extreme QX6700,,4,2.66,,100,,false
AMD Athlon II X3 455,,3,3.3,,95,,false
AMD Phenom II X4 840,,4,3.2,,95,,false
AMD Phenom II X4 980 Black,,4,3.7,,125,,false
Intel Core i3-3220T,80,2,2.8,,35,Intel HD Graphics 2500,true
Intel Core i3-4330,,2,3.5,,54,Intel HD Graphics 4600,true
Intel Xeon E3-1271 V3,,4,3.6,4,80,,true
Intel Core i3-3240,,2,3.4,,55,Intel HD Graphics 2500,true
Intel Core i7-6700T,,4,2.8,3.6,35,Intel HD Graphics 530,true
Intel Xeon E3-1240 V5,,4,3.5,3.9,80,,true
AMD Opteron 6328,499.99,8,3.2,3.8,115,,false
Intel Xeon E5-2470V2,229.95,10,2.4,3.2,95,,true
Intel Core i3-8350K,,4,4,,91,Intel UHD Graphics 630,false
Intel Core i3-560,60,2,3.333,,73,Intel HD Graphics,true
Intel Pentium G2140,45,2,3.3,,55,Intel HD Graphics,false
AMD A10-6700,112.76,4,3.7,,65,Radeon HD 8670D,false
AMD A10-5800K,78.02,4,3.8,,100,Radeon HD 7660D,false
Intel Core i7-6900K,295.06,8,3.2,3.7,140,,true
Intel Core 2 Duo E6320,,2,1.86,,65,,false
Intel Core i5-680,,2,3.6,,73,Intel HD Graphics,true
Intel Core 2 Quad Q8400,155.97,4,2.66,,95,,false
Intel Core i5-4690K,,4,3.5,3.9,88,Intel HD Graphics 4600,false
Intel Xeon E3-1246 V3,,4,3.5,3.9,84,Intel HD Graphics P4600,true
AMD FX-8370E,,8,3.3,4.3,95,,false
AMD Phenom II X2 B59,,2,3.4,,80,,false
Intel Core i3-6100T,149.94,2,3.2,,35,Intel HD Graphics 530,true
Intel Xeon E3-1275 V5,,4,3.6,4,80,Intel HD Graphics P530,true
Intel Xeon E3-1230 V6,,4,3.5,3.9,72,,true
AMD Athlon 240GE,,2,3.5,,35,Radeon Vega 3,true
Intel Core i5-9400,,6,2.9,4.1,65,Intel UHD Graphics 630,false
Intel Core i5-4590T,,4,2,,35,Intel HD Graphics 4000,true
Intel Xeon E5-2695 V3,498.95,14,2.3,3.3,120,,true
AMD Athlon II X4 635,58.02,4,2.9,,95,,false
Intel Xeon E5-2603,98.95,4,1.8,,80,,false
Intel Xeon E3-1280 V5,,4,3.7,4,80,,true
Intel Core 2 Duo E4300,,2,1.8,,65,,false
Intel Core 2 Duo E4500,,2,2.2,,65,,false
Intel Pentium G6950,55.01,2,2.8,,73,Intel HD Graphics,false
Intel Core i5-750,403,4,2.66,,95,,false
AMD Phenom II X4 830,55.05,4,2.8,,95,,false
AMD A6-3650,,4,2.6,,100,Radeon HD 6530D,false
AMD FX-8120,,8,3.1,,125,,false
Intel Core i3-4350,,2,3.6,,54,Intel HD Graphics 4600,true
Intel Xeon E3-1276 V3,,4,3.6,4,84,Intel HD Graphics P4600,true
Intel Xeon E5-2690,,8,2.9,3.8,135,,true
Intel Xeon E5-1630 V3,,4,3.7,3.8,140,,true
Intel Xeon E5-2623 V3,229.95,4,3,3.5,105,,true
AMD FX-8310,,8,3.4,4.3,95,,false
Intel Core i5-6500T,,4,2.5,3.1,35,Intel HD Graphics 530,false
AMD FX-8370,,8,4,4.3,125,,false
Intel Core i7-7800X,,6,3.5,4,140,,true
Intel Xeon E5-2420V2,,6,2.2,2.7,80,,true
Intel Core i3-8300T,,4,3.2,,35,Intel UHD Graphics 630,false
AMD Ryzen 7 1800X,,8,3.6,4,95,,true
AMD Threadripper 2920X,,12,3.5,4.3,180,,true
AMD Athlon 220GE,,2,3.4,,35,Radeon Vega 3,true
Intel Xeon E-2136,796,6,3.3,4.5,80,,true
AMD A4-3400,134.09,2,2.7,,65,Radeon HD 6410D,false
AMD A4-3300,89.95,2,2.5,,65,Radeon HD 6410D,false
Intel Xeon E5-1620 V4,136.62,4,3.5,3.8,140,,true
Intel Xeon E3-1285 V6,994.94,4,4.1,4.5,79,Intel HD Graphics 630,true
Intel Xeon E-2146G,825,6,3.5,4.5,80,Intel HD Graphics P630,true
Intel Core 2 Duo E7400,,2,2.8,,65,,false
Intel Core i7-975 Extreme Edition,,4,3.33,,130,,true
AMD Phenom II X6 1075T,,6,3,,95,,false
Intel Pentium G840,,2,2.8,,65,Intel HD Graphics,false
AMD A6-3500,,3,2.1,,65,Radeon HD 6530D,false
AMD FX-8150,,8,3.6,,125,,false
Intel Xeon E3-1230,,4,3.2,,80,,true
